layer_name,bit_position,auroc,fpr,detection_error,auroc_fi,fpr_fi,detection_error_fi
layer1.2.conv1,6,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv1,7,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv1,8,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv1,9,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv1,10,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv1,11,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv1,12,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv1,13,90.32,39.29,15.84,90.32,39.3,15.84
layer1.2.conv1,14,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv1,15,90.32,39.29,15.84,90.32,39.31,15.84
layer1.2.conv1,16,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv1,17,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv1,18,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv1,19,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv1,20,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv1,21,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv1,22,90.32,39.29,15.84,90.32,39.29,15.83
layer1.2.conv1,23,90.32,39.29,15.84,90.32,39.34,15.84
layer1.2.conv1,24,90.32,39.29,15.84,90.32,39.3,15.84
layer1.2.conv1,25,90.32,39.29,15.84,90.32,39.23,15.84
layer1.2.conv1,26,90.32,39.29,15.84,90.32,39.42,15.84
layer1.2.conv1,27,90.32,39.29,15.84,90.36,39.35,15.77
layer1.2.conv1,28,90.32,39.29,15.84,90.32,39.27,15.84
layer1.2.conv1,29,90.32,39.29,15.84,90.32,39.29,15.83
layer1.2.conv1,30,90.32,39.29,15.84,77.26,48.2,22.68
layer1.2.conv2,0,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv2,1,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv2,2,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv2,3,90.32,39.29,15.84,90.32,39.31,15.84
layer1.2.conv2,4,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv2,5,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv2,6,90.32,39.29,15.84,90.32,39.31,15.84
layer1.2.conv2,7,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv2,8,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv2,9,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv2,10,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv2,11,90.32,39.29,15.84,90.32,39.29,15.84
